"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"1913","BST1","free.lambda",-0.219007678469149,0.783881614900361,0.989294788489872,1,0.920733822046576,"RPKM","Heart"
"1041","PLCL1","free.lambda",0.0278325175264899,0.786587172476876,0.999944904861253,0,0.920733822046576,"RPKM","Heart"
"1351","TBC1D2","no.lambda",-0.161133531999762,0.795729702974913,0.0259640164928567,0,0.924270654993937,"RPKM","Heart"
"5613","FBXL17","no.lambda",0.149990360959181,0.809744838730256,0.022497107801664,0,0.933370004948616,"RPKM","Heart"
"5513","FBLN5","no.lambda",-0.124437013250226,0.841971720562586,0.0154845701494821,0,0.963164619734473,"RPKM","Heart"
"1031","PKP2","no.lambda",-0.113122707315771,0.856275481272522,0.0127967464737391,0,0.972162388512412,"RPKM","Heart"
"3813","CSF3","free.lambda",0.115702298282969,0.867534099665146,0.990022357466844,1,0.977594395891321,"RPKM","Heart"
"3213","CHDH","no.lambda",0.0965756801230054,0.877227435085965,0.00932686243387859,0,0.981195131096153,"RPKM","Heart"
"2513","CCDC80","no.lambda",0.0786758694455633,0.89993021428307,0.00618989209490206,0,0.991893885815647,"RPKM","Heart"
"1011","PFKM","no.lambda",0.0795040709183005,0.898879015199051,0.00632089738749742,0,0.991893885815647,"RPKM","Heart"
"1010","ARMC1","no.lambda",0.0152299883156851,0.980609331008893,0.000231952431073434,0,0.997935259122344,"RPKM","Heart"
"3313","CLIP4","no.lambda",-0.0358366978656703,0.95438107179654,0.00128426867719589,0,0.997935259122344,"RPKM","Heart"
"3913","CTHRC1","no.lambda",0.0473772327850248,0.939700003169931,0.00224460254593362,0,0.997935259122344,"RPKM","Heart"
"661","GPSM1","no.lambda",-0.0266450364745444,0.966078491513761,0.000709958349109474,0,0.997935259122344,"RPKM","Heart"
"731","IL17B","free.lambda",0.0264947787101843,0.92299175690652,0.990119204228923,1,0.997935259122344,"RPKM","Heart"
"901","MTMR11","no.lambda",-0.0217463562216437,0.972313867573927,0.000472903810928793,0,0.997935259122344,"RPKM","Heart"
"1021","PHACTR2","no.lambda",0.0177843499574588,0.977357452693542,0.000316283197242861,0,0.997935259122344,"RPKM","Heart"
"1271","SNX8","free.lambda",-0.341714840951968,0.924205877770557,0.994218284472624,0,0.997935259122344,"RPKM","Heart"
"1281","SPATA25","free.lambda",-0.745741003465028,0.984717573571054,0.950523965653645,0,0.997935259122344,"RPKM","Heart"
"1291","ST14","free.lambda",-0.086832738471177,0.958106643817813,0.860922146434157,1,0.997935259122344,"RPKM","Heart"
"1371","TMCC3","free.lambda",-0.225352078227966,0.9465155501749,0.554292253501231,0,0.997935259122344,"RPKM","Heart"
"1431","TXLNB","no.lambda",0.0524118568182253,0.933297715013807,0.00274700285276219,0,0.997935259122344,"RPKM","Heart"
"681","GUCY1A2","free.lambda",-0.138957040858744,0.991804522006724,0.600510564489405,1,0.998416552153435,"RPKM","Heart"
"2313","CCDC42","free.lambda",-0.139750109655146,0.999999728812786,0.99336670706046,1,0.999999728812786,"RPKM","Heart"
"6710","TEX26","free.lambda",-0.998853523144528,5.65307991546127e-23,0.999968528009983,1,3.84409434251366e-21,"FoldChange","Kidney"
"1116","CCDC42","free.lambda",0.945489399798084,4.55064467671508e-20,0.998979306558647,1,1.54721919008313e-18,"FoldChange","Kidney"
"5114","SLC22A16","free.lambda",-0.832707482631356,2.476390561255e-19,0.997906185301875,1,5.61315193884467e-18,"FoldChange","Kidney"
"1316","CRTAC1","free.lambda",-0.819783194567314,4.28505687321509e-19,0.99795357541052,1,7.28459668446565e-18,"FoldChange","Kidney"
"6412","TAGLN3","free.lambda",0.668851366065468,6.01243122758622e-14,0.995382495859658,1,8.17690646951726e-13,"FoldChange","Kidney"
"1416","DNTT","free.lambda",0.9566384005331,6.25735994795709e-08,0.999944623388608,1,7.0916746076847e-07,"FoldChange","Kidney"
"916","BTBD11","free.lambda",-0.493113477747243,4.39238736900263e-07,0.999886392167672,0,4.26689058703112e-06,"FoldChange","Kidney"
"2114","FCER1G","free.lambda",-0.581755865672883,9.42964737282854e-07,0.999882706448384,0,7.12462245947045e-06,"FoldChange","Kidney"
"6810","TNFRSF17","free.lambda",0.078827928995941,9.18443585878547e-07,0.999957142945888,0,7.12462245947045e-06,"FoldChange","Kidney"
